id,webpage_id,type,positionX,positionY,currentWidth,currentHeight,minutes,seconds,miliseconds,keypress,scrollPositionY,scrollPositionX,selectedText,shiftPress,ctrlPress
1,1,3,,,828,600,55,4,928,,,,,,
2,1,3,,,828,600,55,9,928,,,,,,
3,1,1,,,,,55,11,404,1,,,,0,0
4,1,3,,,828,600,55,14,931,,,,,,
5,1,3,,,828,600,55,19,933,,,,,,
6,1,1,,,,,55,18,371,1,,,,0,0
7,1,1,,,,,55,19,871,1,,,,0,0
8,1,3,,,828,600,55,25,259,,,,,,
9,1,3,,,828,600,55,29,968,,,,,,
10,10,2,,,,,55,32,15,,1,,,,
11,10,2,,,,,55,32,30,,5,,,,
12,10,2,,,,,55,32,48,,12,,,,
13,10,2,,,,,55,32,64,,19,,,,
14,10,2,,,,,55,32,81,,27,,,,
15,10,2,,,,,55,32,98,,33,,,,
16,10,2,,,,,55,32,114,,38,,,,
17,10,2,,,,,55,32,131,,43,,,,
18,10,2,,,,,55,32,147,,47,,,,
19,10,2,,,,,55,32,164,,49,,,,
20,10,3,,,828,600,55,34,347,,,,,,
21,1,3,,,828,600,55,35,92,,,,,,
22,22,5,,,,,55,40,296,,,,1,,
23,22,5,,,,,55,40,414,,,,1,,
24,22,5,,,,,55,40,618,,,,1,,
25,1,3,,,828,600,55,40,815,,,,,,
26,22,5,,,,,55,41,14,,,,1,,
27,22,5,,,,,55,41,214,,,,1,,
28,22,5,,,,,55,41,414,,,,1,,
29,22,5,,,,,55,41,615,,,,1,,
30,22,5,,,,,55,43,3,,,,1,,
31,22,3,,,1440,900,55,43,11,,,,,,
32,22,5,,,,,55,43,872,,,,1,,
33,22,5,,,,,55,44,803,,,,1,,
34,22,5,,,,,55,45,892,,,,1,,
35,22,5,,,,,55,47,196,,,,1,,
36,1,5,,,,,55,48,18,,,,1,,
37,22,5,,,,,55,48,819,,,,1,,
38,22,5,,,,,55,49,835,,,,1,,
39,22,5,,,,,55,50,748,,,,1,,
40,1,3,,,828,600,55,50,800,,,,,,
41,22,5,,,,,55,50,837,,,,1,,
42,22,5,,,,,55,51,16,,,,1,,
43,22,5,,,,,55,51,216,,,,1,,
44,22,5,,,,,55,51,416,,,,1,,
45,22,5,,,,,55,51,615,,,,1,,
46,22,5,,,,,55,51,816,,,,1,,
47,22,5,,,,,55,52,16,,,,1,,
48,22,5,,,,,55,52,214,,,,1,,
49,22,5,,,,,55,52,415,,,,1,,
50,22,3,,,1440,900,55,52,621,,,,,,
51,22,5,,,,,55,52,815,,,,1,,
52,22,5,,,,,55,53,14,,,,1,,
53,22,5,,,,,55,53,235,,,,1,,
54,22,5,,,,,55,53,426,,,,1,,
55,22,5,,,,,55,53,615,,,,1,,
56,22,5,,,,,55,53,815,,,,1,,
57,22,5,,,,,55,54,14,,,,1,,
58,22,5,,,,,55,54,214,,,,1,,
59,22,5,,,,,55,54,415,,,,1,,
60,22,5,,,,,55,54,615,,,,1,,
61,22,5,,,,,55,54,816,,,,1,,
62,22,5,,,,,55,55,16,,,,1,,
63,1,3,,,828,600,55,55,158,,,,,,
64,22,5,,,,,55,55,215,,,,1,,
65,22,5,,,,,55,55,414,,,,1,,
66,22,5,,,,,55,55,618,,,,1,,
67,22,5,,,,,55,55,815,,,,1,,
68,22,5,,,,,55,56,14,,,,1,,
69,22,5,,,,,55,56,214,,,,1,,
70,22,5,,,,,55,56,415,,,,1,,
71,22,5,,,,,55,56,615,,,,1,,
72,22,5,,,,,55,56,815,,,,1,,
73,22,5,,,,,55,57,16,,,,1,,
74,22,5,,,,,55,57,216,,,,1,,
75,22,5,,,,,55,57,416,,,,1,,
76,22,5,,,,,55,57,617,,,,1,,
77,22,5,,,,,55,57,816,,,,1,,
78,22,5,,,,,55,58,14,,,,1,,
79,22,5,,,,,55,58,215,,,,1,,
80,22,5,,,,,55,58,414,,,,1,,
81,22,5,,,,,55,58,632,,,,1,,
82,22,5,,,,,55,58,816,,,,1,,
