id,webpage_id,type,positionX,positionY,currentWidth,currentHeight,minutes,seconds,miliseconds,keypress,scrollPositionY,scrollPositionX,selectedText,shiftPress,ctrlPress
1,1,3,,,1920,927,46,33,901,,,,,,
2,2,3,,,1920,1031,46,33,948,,,,,,
3,3,3,,,1920,927,46,34,901,,,,,,
4,1,3,,,1920,927,46,38,902,,,,,,
5,2,3,,,1920,1031,46,38,951,,,,,,
6,3,3,,,1920,927,46,39,901,,,,,,
7,1,3,,,1920,1031,46,43,525,,,,,,
8,3,3,,,1920,927,46,44,903,,,,,,
9,3,3,,,1920,927,46,49,901,,,,,,
10,1,2,,,,,46,47,398,,189.09091186523438,,,,
11,1,2,,,,,46,49,24,,199.09091186523438,,,,
12,1,2,,,,,46,49,62,,216.36363220214844,,,,
13,1,2,,,,,46,49,81,,233.6363525390625,,,,
14,1,2,,,,,46,49,97,,245.45454406738281,,,,
15,1,2,,,,,46,49,129,,261.81817626953125,,,,
16,1,2,,,,,46,49,147,,268.18182373046875,,,,
17,1,2,,,,,46,49,196,,273.6363525390625,,,,
18,1,2,,,,,46,49,214,,278.18182373046875,,,,
19,1,2,,,,,46,49,246,,280,,,,
20,1,3,,,1920,927,46,52,902,,,,,,
21,3,3,,,1920,927,46,54,901,,,,,,
22,1,3,,,1920,927,46,57,901,,,,,,
23,23,2,,,,,46,56,866,,0,,,,
24,3,3,,,1920,927,46,59,905,,,,,,
25,23,3,,,1920,1031,47,0,15,,,,,,
26,1,3,,,1920,927,47,2,904,,,,,,
27,3,3,,,1920,927,47,4,901,,,,,,
28,23,3,,,1920,1031,47,5,14,,,,,,
29,29,0,505,88,,,46,55,95,,,,,,
30,29,0,505,92,,,46,55,155,,,,,,
31,23,0,509,92,,,46,57,449,,,,,,
32,23,0,557,92,,,46,57,474,,,,,,
33,23,0,599,104,,,46,57,490,,,,,,
34,23,0,640,117,,,46,57,512,,,,,,
35,23,0,700,139,,,46,57,531,,,,,,
36,23,0,716,147,,,46,57,543,,,,,,
37,23,0,747,163,,,46,57,560,,,,,,
38,23,0,771,177,,,46,57,599,,,,,,
39,23,0,792,189,,,46,57,612,,,,,,
40,23,0,801,195,,,46,57,625,,,,,,
41,23,0,811,201,,,46,57,641,,,,,,
42,23,0,822,208,,,46,57,658,,,,,,
43,23,0,825,210,,,46,57,681,,,,,,
44,23,0,826,211,,,46,57,693,,,,,,
45,23,0,829,212,,,46,57,712,,,,,,
46,23,0,830,213,,,46,57,729,,,,,,
47,23,0,831,214,,,46,57,745,,,,,,
48,23,0,833,215,,,46,57,761,,,,,,
49,23,0,834,216,,,46,57,779,,,,,,
50,23,0,836,217,,,46,57,795,,,,,,
51,23,0,837,217,,,46,57,812,,,,,,
52,23,0,838,218,,,46,57,825,,,,,,
53,23,0,841,221,,,46,57,842,,,,,,
54,23,0,843,222,,,46,57,858,,,,,,
55,23,0,845,224,,,46,57,875,,,,,,
56,23,0,850,228,,,46,57,892,,,,,,
57,23,0,853,230,,,46,57,909,,,,,,
58,23,0,856,233,,,46,57,926,,,,,,
59,23,0,869,242,,,46,57,962,,,,,,
60,23,0,874,245,,,46,57,991,,,,,,
61,23,0,875,246,,,46,58,9,,,,,,
62,23,0,876,247,,,46,58,26,,,,,,
63,23,0,877,247,,,46,58,49,,,,,,
64,23,0,877,248,,,46,58,57,,,,,,
65,23,0,877,250,,,46,58,73,,,,,,
66,23,0,877,250,,,47,3,104,,,,,,
67,23,0,874,250,,,47,3,171,,,,,,
68,23,0,865,249,,,47,3,188,,,,,,
69,23,0,861,248,,,47,3,205,,,,,,
70,23,0,856,246,,,47,3,222,,,,,,
71,23,0,851,245,,,47,3,238,,,,,,
72,23,0,841,242,,,47,3,254,,,,,,
73,23,0,837,241,,,47,3,271,,,,,,
74,23,0,829,239,,,47,3,287,,,,,,
75,23,0,825,239,,,47,3,322,,,,,,
76,23,0,815,238,,,47,3,338,,,,,,
77,23,0,812,238,,,47,3,355,,,,,,
78,23,0,805,238,,,47,3,372,,,,,,
79,23,0,803,238,,,47,3,388,,,,,,
80,23,0,800,238,,,47,3,405,,,,,,
81,23,0,797,238,,,47,3,421,,,,,,
82,23,0,792,238,,,47,3,438,,,,,,
83,23,0,789,239,,,47,3,455,,,,,,
84,23,0,784,242,,,47,3,471,,,,,,
85,23,0,782,243,,,47,3,487,,,,,,
86,23,0,780,245,,,47,3,504,,,,,,
87,23,0,777,246,,,47,3,521,,,,,,
88,23,0,774,250,,,47,3,537,,,,,,
89,23,0,769,253,,,47,3,555,,,,,,
90,23,0,768,254,,,47,3,571,,,,,,
91,23,0,766,256,,,47,3,587,,,,,,
92,23,0,763,259,,,47,3,604,,,,,,
93,23,0,762,260,,,47,3,621,,,,,,
94,23,0,761,261,,,47,3,637,,,,,,
95,23,0,760,263,,,47,3,654,,,,,,
96,23,0,758,264,,,47,3,671,,,,,,
97,23,0,758,264,,,47,3,688,,,,,,
98,23,0,757,265,,,47,3,722,,,,,,
99,23,0,756,267,,,47,3,754,,,,,,
100,23,0,756,268,,,47,3,756,,,,,,
101,23,0,754,270,,,47,3,792,,,,,,
102,23,0,754,270,,,47,3,805,,,,,,
103,23,0,754,271,,,47,3,820,,,,,,
104,23,0,754,272,,,47,3,838,,,,,,
105,23,0,754,272,,,47,3,854,,,,,,
106,23,0,754,272,,,47,3,874,,,,,,
107,23,0,754,273,,,47,3,889,,,,,,
108,23,0,754,273,,,47,3,904,,,,,,
109,23,0,754,274,,,47,3,920,,,,,,
110,23,0,754,274,,,47,4,37,,,,,,
111,23,0,756,274,,,47,4,60,,,,,,
112,23,0,759,274,,,47,4,90,,,,,,
113,23,0,760,274,,,47,4,104,,,,,,
114,23,0,763,274,,,47,4,121,,,,,,
115,23,0,764,274,,,47,4,141,,,,,,
