id,webpage_id,type,positionX,positionY,currentWidth,currentHeight,minutes,seconds,miliseconds,keypress,scrollPositionY,scrollPositionX,selectedText,shiftPress,ctrlPress
1,1,3,,,1440,900,10,17,456,,,,,,
2,2,0,649,750,,,5,46,102,,,,,,
3,2,0,649,750,,,5,46,118,,,,,,
4,2,0,648,751,,,5,46,136,,,,,,
5,2,0,648,751,,,5,46,154,,,,,,
6,2,0,648,752,,,5,46,170,,,,,,
7,2,0,648,752,,,5,46,186,,,,,,
8,2,0,648,753,,,5,46,203,,,,,,
9,2,0,647,754,,,5,46,220,,,,,,
10,2,0,647,754,,,5,46,237,,,,,,
11,2,0,647,755,,,5,46,252,,,,,,
12,2,0,646,756,,,5,46,269,,,,,,
13,2,0,646,757,,,5,46,286,,,,,,
14,2,0,646,757,,,5,46,302,,,,,,
15,2,0,646,759,,,5,46,713,,,,,,
16,2,0,648,761,,,5,46,724,,,,,,
17,2,0,651,764,,,5,46,738,,,,,,
18,2,0,659,772,,,5,46,753,,,,,,
19,2,0,667,780,,,5,46,770,,,,,,
20,2,0,676,788,,,5,46,787,,,,,,
21,2,0,684,788,,,5,46,801,,,,,,
22,2,0,688,788,,,5,46,819,,,,,,
23,2,0,691,788,,,5,46,836,,,,,,
24,2,0,693,788,,,5,46,855,,,,,,
25,2,0,695,788,,,5,46,871,,,,,,
26,2,0,697,788,,,5,46,886,,,,,,
27,2,0,698,788,,,5,46,903,,,,,,
28,2,0,453,23,,,6,17,756,,,,,,
29,2,0,526,136,,,6,17,774,,,,,,
30,2,0,622,273,,,6,17,792,,,,,,
31,2,0,770,478,,,6,17,825,,,,,,
32,2,0,786,502,,,6,17,842,,,,,,
33,2,0,786,510,,,6,18,42,,,,,,
34,2,0,786,534,,,6,18,57,,,,,,
35,2,0,786,578,,,6,18,74,,,,,,
36,2,0,786,643,,,6,18,89,,,,,,
37,2,0,786,684,,,6,18,106,,,,,,
38,2,0,784,727,,,6,18,121,,,,,,
39,2,0,780,761,,,6,18,140,,,,,,
40,2,0,779,776,,,6,18,159,,,,,,
41,2,0,779,786,,,6,18,171,,,,,,
42,2,0,779,788,,,6,18,189,,,,,,
43,2,0,781,788,,,6,18,206,,,,,,
44,2,0,786,788,,,6,18,223,,,,,,
45,2,0,792,788,,,6,18,239,,,,,,
46,2,0,798,788,,,6,18,256,,,,,,
47,2,0,804,788,,,6,18,273,,,,,,
48,2,0,808,788,,,6,18,289,,,,,,
49,2,0,812,788,,,6,18,306,,,,,,
50,2,0,815,788,,,6,18,322,,,,,,
51,2,0,817,788,,,6,18,339,,,,,,
52,2,0,818,788,,,6,18,356,,,,,,
53,2,0,818,788,,,6,18,373,,,,,,
54,2,0,818,788,,,6,18,403,,,,,,
55,2,0,818,788,,,6,18,548,,,,,,
56,2,0,818,788,,,6,18,563,,,,,,
57,2,0,818,788,,,6,18,580,,,,,,
58,2,0,818,787,,,6,18,590,,,,,,
59,2,0,818,787,,,6,18,606,,,,,,
60,2,0,819,785,,,6,18,622,,,,,,
61,2,0,819,784,,,6,18,640,,,,,,
62,2,0,820,783,,,6,18,657,,,,,,
63,2,0,820,781,,,6,18,673,,,,,,
64,2,0,821,780,,,6,18,689,,,,,,
65,2,0,821,779,,,6,18,706,,,,,,
66,2,0,823,776,,,6,18,722,,,,,,
67,2,0,825,773,,,6,18,739,,,,,,
68,2,0,829,770,,,6,18,756,,,,,,
69,2,0,635,302,,,10,3,211,,,,,,
70,2,0,926,528,,,10,19,150,,,,,,
71,2,0,929,528,,,10,19,247,,,,,,
72,2,0,936,528,,,10,19,262,,,,,,
73,2,0,948,527,,,10,19,279,,,,,,
74,2,0,979,523,,,10,19,297,,,,,,
75,2,0,1021,515,,,10,19,312,,,,,,
76,2,0,1067,502,,,10,19,329,,,,,,
77,2,0,1105,484,,,10,19,346,,,,,,
78,2,0,1138,438,,,10,19,364,,,,,,
79,2,0,1142,402,,,10,19,378,,,,,,
80,2,0,1136,370,,,10,19,395,,,,,,
81,2,0,1122,354,,,10,19,412,,,,,,
82,2,0,1091,338,,,10,19,429,,,,,,
83,2,0,1034,337,,,10,19,446,,,,,,
84,2,0,960,352,,,10,19,462,,,,,,
85,2,0,867,377,,,10,19,479,,,,,,
86,2,0,800,395,,,10,19,495,,,,,,
87,2,0,758,408,,,10,19,511,,,,,,
88,2,0,745,411,,,10,19,527,,,,,,
89,2,0,727,416,,,10,19,544,,,,,,
90,2,0,720,417,,,10,19,560,,,,,,
91,2,0,718,417,,,10,19,577,,,,,,
92,2,0,718,416,,,10,19,595,,,,,,
93,2,0,718,415,,,10,19,612,,,,,,
94,2,0,719,413,,,10,19,628,,,,,,
95,2,0,723,410,,,10,19,647,,,,,,
96,2,0,731,405,,,10,19,665,,,,,,
97,2,0,745,400,,,10,19,677,,,,,,
98,2,0,764,398,,,10,19,696,,,,,,
99,2,0,791,398,,,10,19,712,,,,,,
100,2,0,812,407,,,10,19,729,,,,,,
101,2,0,830,433,,,10,19,745,,,,,,
102,2,3,,,1440,900,10,20,157,,,,,,
103,103,3,,,1440,900,10,20,203,,,,,,
104,2,1,,,,,10,20,435,1,,,,0,0
105,2,1,,,,,10,20,862,1,,,,1,0
