id,webpage_id,type,positionX,positionY,currentWidth,currentHeight,minutes,seconds,miliseconds,keypress,scrollPositionY,scrollPositionX,selectedText,shiftPress,ctrlPress
1,1,3,,,1440,900,19,40,190,,,,,,
2,2,3,,,1440,900,19,41,478,,,,,,
3,3,2,,,,,19,40,977,,6758,,,,
4,3,3,,,1440,900,19,43,590,,,,,,
5,1,3,,,1440,900,19,45,369,,,,,,
6,2,3,,,1440,900,19,46,306,,,,,,
7,3,2,,,,,19,46,305,,6789,,,,
8,3,3,,,1440,900,19,48,590,,,,,,
9,1,3,,,1440,900,19,50,502,,,,,,
10,3,2,,,,,19,47,879,,6845,,,,
11,2,3,,,1440,900,19,51,472,,,,,,
12,3,3,,,1440,900,19,53,593,,,,,,
13,1,3,,,1440,900,19,55,554,,,,,,
14,3,2,,,,,19,54,84,,6901,,,,
15,3,2,,,,,19,54,641,,6957,,,,
16,3,3,,,1440,900,19,58,591,,,,,,
17,1,3,,,1440,900,20,0,300,,,,,,
18,2,3,,,1440,900,20,1,387,,,,,,
19,22,2,,,,,20,0,557,,1683,,,,
20,3,0,489,458,,,18,59,536,,,,,,
21,3,0,474,467,,,18,59,571,,,,,,
22,3,0,1270,476,,,19,41,575,,,,,,
23,3,0,1241,466,,,19,41,758,,,,,,
24,3,0,1210,452,,,19,41,773,,,,,,
25,3,0,1178,437,,,19,41,790,,,,,,
26,3,0,1071,396,,,19,41,810,,,,,,
27,3,0,1027,380,,,19,41,824,,,,,,
28,3,0,972,363,,,19,41,842,,,,,,
29,3,0,938,351,,,19,41,860,,,,,,
30,3,0,887,332,,,19,41,900,,,,,,
31,3,0,862,323,,,19,41,930,,,,,,
32,3,0,855,320,,,19,41,956,,,,,,
33,3,0,855,326,,,19,43,360,,,,,,
34,3,0,845,359,,,19,43,393,,,,,,
35,3,0,822,409,,,19,43,428,,,,,,
36,3,0,783,476,,,19,43,460,,,,,,
37,3,0,728,557,,,19,43,495,,,,,,
38,3,0,680,631,,,19,43,543,,,,,,
39,3,0,662,661,,,19,43,576,,,,,,
40,3,0,651,679,,,19,43,609,,,,,,
41,3,0,647,687,,,19,43,623,,,,,,
42,3,0,645,691,,,19,43,641,,,,,,
43,3,0,643,695,,,19,43,658,,,,,,
44,3,0,643,696,,,19,43,675,,,,,,
45,3,0,826,528,,,19,59,725,,,,,,
46,3,0,895,470,,,19,59,742,,,,,,
47,3,0,964,409,,,19,59,757,,,,,,
48,3,0,978,396,,,19,59,773,,,,,,
49,3,0,1017,361,,,19,59,789,,,,,,
50,3,0,1025,354,,,19,59,807,,,,,,
51,3,0,1036,344,,,19,59,823,,,,,,
52,3,0,1040,341,,,19,59,841,,,,,,
53,3,0,1041,340,,,19,59,857,,,,,,
54,3,0,1042,340,,,19,59,873,,,,,,
55,3,0,1042,340,,,19,59,890,,,,,,
56,3,0,1042,339,,,19,59,907,,,,,,
57,3,0,1042,325,,,19,59,942,,,,,,
58,3,0,1042,304,,,19,59,956,,,,,,
59,3,0,1044,279,,,19,59,974,,,,,,
60,3,0,1051,255,,,19,59,989,,,,,,
61,3,0,1058,240,,,20,0,11,,,,,,
62,3,0,1061,232,,,20,0,24,,,,,,
63,3,0,1063,230,,,20,0,38,,,,,,
64,3,0,1064,229,,,20,0,56,,,,,,
65,3,0,1063,229,,,20,0,111,,,,,,
66,3,0,1063,229,,,20,0,125,,,,,,
67,3,0,1063,229,,,20,0,140,,,,,,
68,3,0,1063,229,,,20,0,158,,,,,,
69,3,0,1062,229,,,20,0,173,,,,,,
70,3,0,1062,229,,,20,0,190,,,,,,
71,3,0,1062,228,,,20,0,205,,,,,,
72,3,0,1062,228,,,20,0,223,,,,,,
73,3,0,1062,227,,,20,0,238,,,,,,
74,3,0,1062,226,,,20,0,257,,,,,,
75,3,0,1062,226,,,20,0,275,,,,,,
76,3,0,1062,225,,,20,0,287,,,,,,
77,22,0,1060,226,,,20,0,774,,,,,,
78,22,0,1044,236,,,20,0,795,,,,,,
79,22,0,1015,252,,,20,0,807,,,,,,
80,22,0,953,286,,,20,0,825,,,,,,
81,22,0,880,321,,,20,0,841,,,,,,
82,22,0,823,349,,,20,0,859,,,,,,
83,22,0,774,374,,,20,0,877,,,,,,
84,22,0,749,390,,,20,0,888,,,,,,
85,22,0,729,401,,,20,0,910,,,,,,
86,22,0,718,409,,,20,0,925,,,,,,
87,22,0,711,413,,,20,0,944,,,,,,
88,22,0,709,416,,,20,0,956,,,,,,
89,22,0,708,417,,,20,1,421,,,,,,
90,22,0,706,421,,,20,1,443,,,,,,
91,22,0,699,431,,,20,1,457,,,,,,
92,22,0,690,447,,,20,1,475,,,,,,
93,22,0,679,466,,,20,1,494,,,,,,
94,22,0,665,489,,,20,1,507,,,,,,
95,22,0,650,515,,,20,1,526,,,,,,
96,22,0,639,537,,,20,1,540,,,,,,
97,22,0,633,550,,,20,1,557,,,,,,
98,22,0,629,559,,,20,1,576,,,,,,
99,22,0,625,568,,,20,1,590,,,,,,
100,22,0,624,570,,,20,1,607,,,,,,
101,22,0,624,570,,,20,2,688,,,,,,
102,22,0,615,553,,,20,2,707,,,,,,
103,22,0,591,517,,,20,2,726,,,,,,
104,22,0,533,431,,,20,2,743,,,,,,
105,22,0,495,373,,,20,2,756,,,,,,
106,22,0,463,323,,,20,2,776,,,,,,
107,22,0,438,287,,,20,2,793,,,,,,
108,22,0,415,256,,,20,2,810,,,,,,
109,22,0,401,239,,,20,2,823,,,,,,
110,22,0,388,226,,,20,2,841,,,,,,
111,22,0,369,206,,,20,2,859,,,,,,
112,22,0,355,189,,,20,2,875,,,,,,
113,22,0,343,173,,,20,2,890,,,,,,
114,22,0,336,163,,,20,2,910,,,,,,
115,22,0,329,152,,,20,2,925,,,,,,
116,22,0,323,142,,,20,2,939,,,,,,
117,22,0,318,132,,,20,2,961,,,,,,
118,22,0,315,122,,,20,2,974,,,,,,
119,22,0,312,112,,,20,2,994,,,,,,
120,123,3,,,1440,900,20,3,591,,,,,,
121,1,3,,,1440,900,20,5,191,,,,,,
122,123,2,,,,,20,3,497,,92,,,,
123,126,2,,,,,20,4,922,,0,,,,
124,126,2,,,,,20,5,127,,1405,,,,
125,2,3,,,1440,900,20,6,391,,,,,,
126,22,0,311,106,,,20,3,7,,,,,,
127,22,0,310,101,,,20,3,23,,,,,,
128,22,0,309,98,,,20,3,40,,,,,,
129,22,0,309,97,,,20,3,56,,,,,,
130,22,0,308,97,,,20,3,73,,,,,,
131,22,0,308,97,,,20,3,89,,,,,,
132,22,0,308,98,,,20,3,106,,,,,,
133,22,0,308,99,,,20,3,122,,,,,,
134,22,0,308,100,,,20,3,139,,,,,,
135,22,0,308,102,,,20,3,155,,,,,,
136,22,0,308,104,,,20,3,172,,,,,,
137,22,0,309,107,,,20,3,189,,,,,,
138,22,0,310,109,,,20,3,207,,,,,,
139,22,0,311,112,,,20,3,223,,,,,,
140,22,0,312,115,,,20,3,242,,,,,,
141,22,0,312,117,,,20,3,257,,,,,,
142,22,0,313,119,,,20,3,272,,,,,,
143,22,0,313,120,,,20,3,289,,,,,,
144,22,0,313,120,,,20,3,306,,,,,,
145,123,0,316,121,,,20,4,92,,,,,,
146,123,0,323,127,,,20,4,109,,,,,,
147,123,0,341,139,,,20,4,124,,,,,,
148,123,0,368,158,,,20,4,144,,,,,,
149,123,0,425,202,,,20,4,163,,,,,,
150,123,0,490,259,,,20,4,196,,,,,,
151,123,0,518,289,,,20,4,226,,,,,,
152,123,0,525,297,,,20,4,247,,,,,,
153,123,0,527,299,,,20,4,276,,,,,,
154,123,0,527,298,,,20,4,574,,,,,,
155,123,0,527,297,,,20,4,591,,,,,,
156,123,0,527,296,,,20,4,614,,,,,,
157,123,0,527,293,,,20,4,641,,,,,,
158,123,0,527,292,,,20,4,658,,,,,,
159,123,0,527,291,,,20,4,675,,,,,,
160,123,0,527,290,,,20,4,692,,,,,,
161,123,0,528,289,,,20,4,708,,,,,,
162,123,0,528,289,,,20,4,719,,,,,,
163,126,0,528,289,,,20,5,127,,,,,,
164,126,0,581,301,,,20,5,727,,,,,,
165,126,0,649,312,,,20,5,739,,,,,,
166,126,0,710,315,,,20,5,758,,,,,,
167,126,0,728,315,,,20,5,773,,,,,,
168,126,0,735,314,,,20,5,957,,,,,,
169,126,0,748,310,,,20,5,973,,,,,,
170,126,0,794,297,,,20,5,991,,,,,,
171,126,0,844,285,,,20,6,11,,,,,,
172,126,0,879,275,,,20,6,25,,,,,,
173,126,0,926,261,,,20,6,40,,,,,,
174,126,0,950,253,,,20,6,60,,,,,,
175,126,0,976,243,,,20,6,76,,,,,,
176,126,0,986,240,,,20,6,91,,,,,,
177,126,0,994,237,,,20,6,108,,,,,,
178,126,0,998,236,,,20,6,125,,,,,,
179,126,0,999,235,,,20,6,143,,,,,,
180,126,0,999,235,,,20,6,159,,,,,,
181,126,0,1000,235,,,20,6,175,,,,,,
182,126,0,1000,235,,,20,6,198,,,,,,
183,126,0,1000,235,,,20,6,206,,,,,,
184,126,0,1001,235,,,20,6,223,,,,,,
185,126,0,1001,235,,,20,6,239,,,,,,
186,126,0,1003,233,,,20,6,256,,,,,,
187,126,0,1005,232,,,20,6,273,,,,,,
188,126,0,1007,230,,,20,6,290,,,,,,
189,126,0,1009,228,,,20,6,307,,,,,,
190,126,0,1011,227,,,20,6,324,,,,,,
191,126,0,1012,225,,,20,6,340,,,,,,
192,126,0,1012,225,,,20,6,357,,,,,,
193,126,0,1013,224,,,20,6,373,,,,,,
194,197,0,1011,226,,,20,6,928,,,,,,
195,197,0,1008,231,,,20,6,946,,,,,,
307,2,2,,,,,20,17,157,,914,,,,
196,197,0,1002,237,,,20,6,962,,,,,,
197,197,0,993,249,,,20,6,977,,,,,,
198,197,0,981,263,,,20,6,995,,,,,,
199,197,0,958,285,,,20,7,11,,,,,,
200,197,0,943,298,,,20,7,29,,,,,,
201,197,0,886,339,,,20,7,62,,,,,,
202,197,0,858,360,,,20,7,97,,,,,,
203,197,0,835,376,,,20,7,130,,,,,,
204,197,0,831,379,,,20,7,141,,,,,,
205,197,0,828,382,,,20,7,162,,,,,,
206,197,0,826,383,,,20,7,178,,,,,,
207,197,0,825,385,,,20,7,197,,,,,,
208,197,0,825,385,,,20,7,213,,,,,,
209,197,0,825,385,,,20,7,227,,,,,,
210,197,0,825,385,,,20,7,259,,,,,,
211,197,0,806,385,,,20,7,593,,,,,,
212,197,0,764,377,,,20,7,610,,,,,,
213,197,0,676,349,,,20,7,629,,,,,,
214,197,0,418,222,,,20,7,663,,,,,,
215,197,0,304,128,,,20,7,695,,,,,,
216,197,0,267,96,,,20,7,726,,,,,,
217,197,0,259,87,,,20,7,741,,,,,,
218,197,0,251,78,,,20,7,760,,,,,,
219,197,0,247,71,,,20,7,775,,,,,,
220,197,0,242,63,,,20,7,790,,,,,,
221,197,0,239,59,,,20,7,807,,,,,,
222,197,0,237,56,,,20,7,828,,,,,,
223,197,0,236,54,,,20,7,843,,,,,,
224,197,0,236,54,,,20,7,859,,,,,,
225,197,0,236,53,,,20,7,874,,,,,,
226,197,3,,,1440,900,20,8,595,,,,,,
227,1,3,,,1440,900,20,10,529,,,,,,
228,2,3,,,1440,900,20,11,206,,,,,,
229,197,2,,,,,20,11,53,,7162,,,,
230,197,3,,,1440,900,20,13,592,,,,,,
231,1,3,,,1440,900,20,15,670,,,,,,
232,2,3,,,1440,900,20,16,203,,,,,,
233,2,2,,,,,20,15,428,,13,,,,
234,2,2,,,,,20,15,480,,58,,,,
235,2,2,,,,,20,15,526,,109,,,,
236,2,2,,,,,20,15,542,,121,,,,
237,2,2,,,,,20,15,558,,133,,,,
238,2,2,,,,,20,15,577,,150,,,,
239,2,2,,,,,20,15,592,,162,,,,
240,2,2,,,,,20,15,610,,177,,,,
241,2,2,,,,,20,15,628,,190,,,,
242,2,2,,,,,20,15,641,,205,,,,
243,2,2,,,,,20,15,660,,221,,,,
244,2,2,,,,,20,15,707,,257,,,,
245,2,2,,,,,20,15,725,,264,,,,
246,2,2,,,,,20,15,741,,269,,,,
247,2,2,,,,,20,15,756,,272,,,,
248,2,2,,,,,20,15,790,,277,,,,
249,2,2,,,,,20,15,808,,282,,,,
250,2,2,,,,,20,15,826,,287,,,,
251,2,2,,,,,20,15,842,,292,,,,
252,2,2,,,,,20,15,857,,297,,,,
253,2,2,,,,,20,15,872,,302,,,,
254,2,2,,,,,20,15,890,,307,,,,
255,2,2,,,,,20,15,907,,312,,,,
256,2,2,,,,,20,15,923,,316,,,,
257,2,2,,,,,20,15,940,,320,,,,
258,2,2,,,,,20,15,957,,324,,,,
259,2,2,,,,,20,15,975,,327,,,,
260,2,2,,,,,20,15,989,,330,,,,
261,2,2,,,,,20,16,6,,333,,,,
262,2,2,,,,,20,16,23,,336,,,,
263,2,2,,,,,20,16,40,,338,,,,
264,2,2,,,,,20,16,56,,340,,,,
265,2,2,,,,,20,16,72,,342,,,,
266,2,2,,,,,20,16,90,,344,,,,
267,2,2,,,,,20,16,125,,347,,,,
268,2,2,,,,,20,16,139,,348,,,,
269,2,2,,,,,20,16,155,,349,,,,
270,2,2,,,,,20,16,240,,371,,,,
271,2,2,,,,,20,16,257,,390,,,,
272,2,2,,,,,20,16,273,,410,,,,
273,2,2,,,,,20,16,290,,428,,,,
274,2,2,,,,,20,16,306,,443,,,,
275,2,2,,,,,20,16,323,,458,,,,
276,2,2,,,,,20,16,341,,471,,,,
277,2,2,,,,,20,16,355,,488,,,,
278,2,2,,,,,20,16,373,,503,,,,
279,2,2,,,,,20,16,389,,520,,,,
280,2,2,,,,,20,16,406,,546,,,,
281,2,2,,,,,20,16,424,,559,,,,
282,2,2,,,,,20,16,440,,571,,,,
283,2,2,,,,,20,16,456,,582,,,,
284,2,2,,,,,20,16,473,,592,,,,
285,2,2,,,,,20,16,490,,598,,,,
286,2,2,,,,,20,16,524,,606,,,,
287,2,2,,,,,20,16,539,,614,,,,
288,2,2,,,,,20,16,556,,622,,,,
289,2,2,,,,,20,16,572,,629,,,,
290,2,2,,,,,20,16,590,,637,,,,
291,2,2,,,,,20,16,605,,644,,,,
292,2,2,,,,,20,16,622,,651,,,,
293,2,2,,,,,20,16,639,,658,,,,
294,2,2,,,,,20,16,656,,664,,,,
295,2,2,,,,,20,16,673,,670,,,,
296,2,2,,,,,20,16,690,,675,,,,
297,2,2,,,,,20,16,705,,680,,,,
298,2,2,,,,,20,16,722,,685,,,,
299,2,2,,,,,20,16,739,,689,,,,
300,2,2,,,,,20,16,755,,693,,,,
301,2,2,,,,,20,17,55,,698,,,,
302,2,2,,,,,20,17,72,,715,,,,
303,2,2,,,,,20,17,90,,775,,,,
304,2,2,,,,,20,17,105,,818,,,,
305,2,2,,,,,20,17,123,,860,,,,
306,2,2,,,,,20,17,140,,897,,,,
308,2,2,,,,,20,17,174,,954,,,,
309,2,2,,,,,20,17,189,,993,,,,
310,2,2,,,,,20,17,206,,1031,,,,
